"source";"target";"purpose"
"J92-4003";"480";"report"
"P90-1034";"481";"present"
"J98-2002";"482";"approach"
"W03-1004";"483";"present"
"J98-3005";"484";"approach"
"P95-1034";"485";"proposed by"
"P98-1116";"486";"proposed by"
"J02-4006";"487";"method"
"J95-4004";"488";"method"
"A97-1052";"489";"report"
"W98-1505";"490";"use"
"W97-1307";"491";"report"
"J00-4003";"492";"report"
"J00-4003";"493";"report"
"J00-4003";"494";"report"
"A92-1014";"495";"method"
"J94-4002";"496";"report"
"J95-2001";"497";"present"
"J90-2002";"498";"present"
"J93-2003";"499";"present"
"P89-1031";"500";"report"
"A92-1021";"501";"approach"
"P93-1041";"502";"approach"
"P94-1050";"503";"use"
"J86-3001";"504";"proposed by"
"P96-1037";"505";"report"
"P88-1015";"506";"present"
"P94-1002";"507";"use"
"P90-1034";"508";"use"
"P99-1014";"509";"use"
"P06-1009";"510";"present"
"P03-1021";"511";"proposed by"
"J03-1002";"512";"proposed by"
"J03-1002";"513";"proposed by"
"J03-1002";"514";"method"
"J03-1002";"515";"present"
"P85-1011";"516";"use"
"D09-1021";"517";"introduce"
"D09-1076";"518";"present"
"N04-1035";"519";"present"
"W04-3250";"520";"proposed by"
"P01-1067";"521";"present"
"W07-0718";"522";"present"
"P05-1033";"523";"introduce"
"D07-1056";"524";"present"
"W07-0401";"525";"present"
"P03-2041";"526";"use"
"J97-3002";"527";"use"
"P06-1067";"528";"introduce"
"N04-4026";"529";"introduce"
"J97-3002";"530";"proposed by"
"P05-1059";"531";"proposed by"
"P03-2041";"532";"use"
"J97-3002";"533";"use"
"J98-4004";"534";"proposed by"
"J98-4004";"535";"proposed by"
"A00-1043";"536";"use"
"D08-1020";"537";"present"
"D08-1020";"538";"present"
"N04-1019";"539";"method"
"W07-0716";"540";"proposed by"
"P02-1006";"541";"use"
"P06-2096";"542";"present"
"W06-1610";"543";"present"
"N06-1057";"544";"present"
"P84-1070";"545";"present"
"W97-0213";"546";"present"
"P95-1026";"547";"method"
"P96-1006";"548";"report"
"A00-2034";"549";"present"
"W93-0110";"550";"proposed by"
"W99-0632";"551";"proposed by"
"A00-2034";"552";"proposed by"
"W96-0102";"553";"proposed by"
"P94-1002";"554";"proposed by"
"P94-1011";"555";"use"
"W96-0205";"556";"present"
"W96-0205";"557";"present"
"P93-1041";"558";"use"
"P95-1015";"559";"use"
"P94-1050";"560";"present"
"P98-2204";"561";"approach"
"W04-0831";"562";"use"
"J93-2003";"563";"introduce"
"W04-3250";"564";"proposed by"
"J08-1001";"565";"present"
"J08-1001";"566";"report"
"N04-1015";"567";"introduce"
"J04-4001";"568";"introduce"
"P03-1069";"569";"present"
"J99-3001";"570";"introduce"
"W07-1101";"571";"present"
"E06-1042";"572";"present"
"P99-1041";"573";"present"
"J82-2002";"574";"report"
"P98-2204";"575";"introduce"
"P95-1014";"576";"present"
"J93-1005";"577";"proposed by"
"P98-2156";"578";"proposed by"
"P90-1035";"579";"proposed by"
"P94-1012";"580";"proposed by"
"P95-1032";"581";"method"
"P95-1032";"582";"method"
"P93-1005";"583";"use"
"W97-0713";"584";"use"
"P95-1026";"585";"proposed by"
"J87-1002";"586";"present"
"P91-1007";"587";"approach"
"P91-1007";"588";"approach"
